date,prcp,snowdepth,snow
20160201,0.01,2,0
20160202,0,0,0
20160203,0.73,0,0
20160204,0,0,0
20160205,0.53,1.2,2.5
20160206,0,0,0
20160207,0,0,0
20160208,0.05,0,0.1
20160209,0,0,0
20160210,0.01,0,0
20160211,0,0,0
20160212,0,0,0
20160213,0,0,0
20160214,0,0,0
20160215,0.44,0,1.4
20160216,1.01,0,0
20160217,0,0,0
20160218,0,0,0
20160219,0,0,0
20160220,0,0,0
20160221,0.03,0,0
20160222,0,0,0
20160223,0.3,0,0
20160224,1.22,0,0
20160225,0.02,0,0
20160226,0,0,0
20160227,0,0,0
20160228,0,0,0
20160229,0.05,0,0
20160301,0,0,0
20160302,0.14,0,0
20160303,0,0,0
20160304,0.11,0,0.4
20160305,0,0,0
20160306,0,0,0
20160307,0,0,0
20160308,0,0,0
20160309,0,0,0
20160310,0,0,0
20160311,0.06,0,0
20160312,0,0,0
20160313,0,0,0
20160314,0.29,0,0
20160315,0,0,0
20160316,0.02,0,0
20160317,0,0,0
20160318,0,0,0
20160319,0,0,0
20160320,0.07,0,0
20160321,0.06,0,0.5
20160322,0,0,0
20160323,0,0,0
20160324,0,0,0
20160325,0.04,0,0
20160326,0,0,0
20160327,0,0,0
20160328,0.38,0,0
20160329,0,0,0
20160330,0,0,0
20160331,0,0,0
20160401,0.02,0,0
20160402,0.16,0,0
20160403,0.09,0,0
20160404,0.47,0,0
20160405,0,0,0
20160406,0,0,0
20160407,0.09,0,0
20160408,0.01,0,0
20160409,0.11,0,0
20160410,0,0,0
20160411,0.01,0,0
20160412,0.2,0,0
20160413,0,0,0
20160414,0,0,0
20160415,0,0,0
20160416,0,0,0
20160417,0,0,0
20160418,0,0,0
20160419,0,0,0
20160420,0,0,0
20160421,0,0,0
20160422,0,0,0
20160423,0.16,0,0
20160424,0,0,0
20160425,0,0,0
20160426,0.24,0,0
20160427,0,0,0
20160428,0,0,0
20160429,0.05,0,0
20160430,0,0,0
20160501,0.16,0,0
20160502,0.04,0,0
20160503,0.61,0,0
20160504,0.01,0,0
20160505,0,0,0
20160506,0.54,0,0
20160507,0,0,0
20160508,0.16,0,0
20160509,0,0,0
20160510,0,0,0
20160511,0,0,0
20160512,0,0,0
20160513,0.25,0,0
20160514,0,0,0
20160515,0,0,0
20160516,0,0,0
20160517,0,0,0
20160518,0,0,0
20160519,0,0,0
20160520,0,0,0
20160521,0.04,0,0
20160522,0.09,0,0
20160523,0.02,0,0
20160524,0.18,0,0
20160525,0,0,0
20160526,0,0,0
20160527,0,0,0
20160528,0,0,0
20160529,0,0,0
20160530,1.65,0,0
20160531,0,0,0
20160601,0,0,0
20160602,0,0,0
20160603,0.04,0,0
20160604,0.4,0,0
20160605,0.91,0,0
